Name Sample	Code	Code2	Coffee Variety	Cultivation	Postharvest Processing	Genomic DNA kit	Drying Time (Days)	ug OTA/kg	Location	Localization
Coffee_16S_01	01_RCF.0	RCF.0_01	Robusta	Conventional	Fresh Cherry	DNPowerSoil	0	1.25	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_17	17_RCF.0	RCF.0_17	Robusta	Conventional	Fresh Cherry	DNMicrobial	0	1.25	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_02	02_RCD.3	RCD.3_02	Robusta	Conventional	Dry	DNPowerSoil	3	0.7	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_18	18_RCD.3	RCD.3_18	Robusta	Conventional	Dry	DNMicrobial	3	0.7	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_03	03_RCD.8	RCD.8_03	Robusta	Conventional	Dry	DNPowerSoil	8	0.74	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_19	19_RCD.8	RCD.8_19	Robusta	Conventional	Dry	DNMicrobial	8	0.74	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_04	04_RCD.10	RCD.10_04	Robusta	Conventional	Dry	DNPowerSoil	10	3.11	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_20	20_RCD.10	RCD.10_20	Robusta	Conventional	Dry	DNMicrobial	10	3.11	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_ITS_01	01_RCF.0	RCF.0_01	Robusta	Conventional	Fresh Cherry	DNPowerSoil	0	1.25	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_ITS_17	17_RCF.0	RCF.0_17	Robusta	Conventional	Fresh Cherry	DNMicrobial	0	1.25	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_ITS_02	02_RCD.3	RCD.3_02	Robusta	Conventional	Dry	DNPowerSoil	3	0.7	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_ITS_18	18_RCD.3	RCD.3_18	Robusta	Conventional	Dry	DNMicrobial	3	0.7	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_ITS_03	03_RCD.8	RCD.8_03	Robusta	Conventional	Dry	DNPowerSoil	8	0.74	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_ITS_19	19_RCD.8	RCD.8_19	Robusta	Conventional	Dry	DNMicrobial	8	0.74	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_ITS_04	04_RCD.10	RCD.10_04	Robusta	Conventional	Dry	DNPowerSoil	10	3.11	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_ITS_20	20_RCD.10	RCD.10_20	Robusta	Conventional	Dry	DNMicrobial	10	3.11	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_05	05_ACF.0	ACF.0_05	Arabica	Conventional	Fresh Cherry	DNPowerSoil	0	0.86	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_21	21_ACF.0	ACF.0_21	Arabica	Conventional	Fresh Cherry	DNMicrobial	0	0.86	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_06	06_ACD.6	ACD.6_06	Arabica	Conventional	Dry	DNPowerSoil	6	0.7	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_22	22_ACD.6	ACD.6_22	Arabica	Conventional	Dry	DNMicrobial	6	0.7	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_07	07_ACD.15	ACD.15_07	Arabica	Conventional	Dry	DNPowerSoil	15	15.83	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
Coffee_16S_23	23_ACD.15	ACD.15_23	Arabica	Conventional	Dry	DNMicrobial	15	15.83	Sto. D. mpio. U. Jrz.	Santo Domingo, Mpio. Union Juarez
