Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR14479879,AMPLICON,602,89792514,PRJNA728639,SAMN19092058,Metagenome or environmental,46731644,METROPOLITAN AUTONOMOUS UNIVERSITY,2019-01-15,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX10828099,Mexico,North America,Mexico,Coffea arabica,Illumina MiniSeq,Arabica-Conventional-Dry-Day15,15.061798087844327 N 92.07860007701245 W,Coffee_ITS_23,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-05-10T00:00:00Z,Coffee_ITS_23,SRP319160
SRR14479882,AMPLICON,602,86176902,PRJNA728639,SAMN19092055,Metagenome or environmental,44021890,METROPOLITAN AUTONOMOUS UNIVERSITY,2019-01-15,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX10828096,Mexico,North America,Mexico,Coffea canephora,Illumina MiniSeq,Robusta-Conventional-Dry-Day10,15.061798087844327 N 92.07860007701245 W,Coffee_ITS_20,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-05-10T00:00:00Z,Coffee_ITS_20,SRP319160
SRR14479900,AMPLICON,602,73014172,PRJNA728639,SAMN19092039,Metagenome or environmental,43914368,METROPOLITAN AUTONOMOUS UNIVERSITY,2019-01-08,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX10828078,Mexico,North America,Mexico,Coffea canephora,Illumina MiniSeq,Robusta-Conventional-Dry-Day8,15.061798087844327 N 92.07860007701245 W,Coffee_ITS_03,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-05-10T00:00:00Z,Coffee_ITS_03,SRP319160
SRR14479912,AMPLICON,602,68340846,PRJNA728639,SAMN19092017,Metagenome or environmental,36400823,METROPOLITAN AUTONOMOUS UNIVERSITY,2019-01-15,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX10828066,Mexico,North America,Mexico,Coffea canephora,Illumina MiniSeq,Robusta-Conventional-Dry-Day3,15.061798087844327 N 92.07860007701245 W,Coffee_16S_18,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-05-10T00:00:00Z,Coffee_16S_18,SRP319160
SRR14479918,AMPLICON,602,79362864,PRJNA728639,SAMN19092011,Metagenome or environmental,45454063,METROPOLITAN AUTONOMOUS UNIVERSITY,2019-01-08,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX10828060,Mexico,North America,Mexico,Coffea arabica,Illumina MiniSeq,Arabica-Conventional-Wet-Day3,16.320321616138884 N 92.02523963879851 W,Coffee_16S_12,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-05-10T00:00:00Z,Coffee_16S_12,SRP319160
SRR14479885,AMPLICON,602,101818066,PRJNA728639,SAMN19092052,Metagenome or environmental,58441524,METROPOLITAN AUTONOMOUS UNIVERSITY,2019-01-15,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX10828093,Mexico,North America,Mexico,Coffea canephora,Illumina MiniSeq,Robusta-Conventional-Fresh Cherry-Day0,15.061798087844327 N 92.07860007701245 W,Coffee_ITS_17,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-05-10T00:00:00Z,Coffee_ITS_17,SRP319160
SRR14479888,AMPLICON,602,78645280,PRJNA728639,SAMN19092050,Metagenome or environmental,38160928,METROPOLITAN AUTONOMOUS UNIVERSITY,2019-01-15,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX10828090,Mexico,North America,Mexico,Coffea arabica,Illumina MiniSeq,Arabica-Organic-Wet-Day3,15.072845933619774 N 92.08476312572151 W,Coffee_ITS_15,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-05-10T00:00:00Z,Coffee_ITS_15,SRP319160
SRR14479897,AMPLICON,602,63923972,PRJNA728639,SAMN19092041,Metagenome or environmental,37167671,METROPOLITAN AUTONOMOUS UNIVERSITY,2019-01-08,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10828081,Mexico,North America,Mexico,Coffea arabica,Illumina MiniSeq,Arabica-Conventional-Fresh Cherry-Day0,15.061798087844327 N 92.07860007701245 W,Coffee_ITS_05,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-05-10T00:00:00Z,Coffee_ITS_05,SRP319160
SRR14479902,AMPLICON,602,81941832,PRJNA728639,SAMN19092037,Metagenome or environmental,47446910,METROPOLITAN AUTONOMOUS UNIVERSITY,2019-01-08,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX10828076,Mexico,North America,Mexico,Coffea canephora,Illumina MiniSeq,Robusta-Conventional-Fresh Cherry-Day0,15.061798087844327 N 92.07860007701245 W,Coffee_ITS_01,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-05-10T00:00:00Z,Coffee_ITS_01,SRP319160
SRR14479904,AMPLICON,602,92629138,PRJNA728639,SAMN19092024,Metagenome or environmental,48019363,METROPOLITAN AUTONOMOUS UNIVERSITY,2019-01-15,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX10828074,Mexico,North America,Mexico,Coffea arabica,Illumina MiniSeq,Arabica-Conventional-Wet-Day3,16.320321616138884 N 92.02523963879851 W,Coffee_16S_25,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-05-10T00:00:00Z,Coffee_16S_25,SRP319160
